image,phrase1,phrase2,original_phrase1,original_phrase2,original_label,type_label
32490830,bright colored shirt,red shirt,a bright colored shirt,red shirt,Independence,4
32490830,blue,blue t-shirt,blue,a blue t-shirt,Entailment2,2
32490830,"bright green , yellow",colorful shirt,"a bright green , yellow",a colorful shirt,Independence,4
32542645,exhibit japanese art,wall,an exhibit of Japanese art,the wall,Independence,4
32542645,some pictures,wall,some pictures,the wall,Alternation,0
32774948,large crowd,people,Large crowd,People,Entailment1,1
32774948,people,small crowd,People,a small crowd,Entailment2,2
33143662,group men,group other men,a group of men,a group of other men,Entailment2,2
33256003,lipstick,pink lipstick,lipstick,pink lipstick,Entailment2,2
33728078,frightened boy,man,A frightened boy,A man,Alternation,0
33728078,boy,frightened boy,a boy,A frightened boy,Entailment2,2
33972426,friend,young lady,the friend,the young lady,Independence,4
33972426,two men,young boys,Two men,The young boys,Alternation,0
34176632,girl,sleeping woman,A girl,A sleeping woman,Alternation,0
34536135,restaurant stand,store,a restaurant stand,a store,Entailment1,1
34728392,bench reading,park bench,a bench reading,a park bench,Independence,4
35158971,bunch hockey players,players,A bunch of hockey players,Players,Entailment1,1
35158971,players,team canadian hockey players,Players,A team of Canadian hockey players,Entailment2,2
35158971,bunch hockey players,team canadian hockey players,A bunch of hockey players,A team of Canadian hockey players,Entailment2,2
35400054,beautiful blue ocean,"open , clear blue ocean",a beautiful blue ocean,"the open , clear blue ocean",Independence,4
35437191,sand sculpture,sand-castle,a sand sculpture,a sand-castle,Entailment2,2
35505698,blue white shirt,hawaiian shirt,a blue and white shirt,a Hawaiian shirt,Independence,4
35652137,balloons disney characters,shape disney characters,balloons of Disney characters,the shape of Disney characters,Independence,4
35652137,group balloons,lot balloons,a group of balloons,a lot of balloons,Independence,4
35652137,buzz lightyear balloons,group balloons,Buzz Lightyear balloons,a group of balloons,Independence,4
36030175,construction workers,two guys,Construction workers,two guys,Independence,4
36079367,round table,wooden table,a round table,a wooden table,Independence,4
36139994,pinstriped vest,vest,pinstriped vest,vest,Entailment1,1
36142198,group well dressed men,men,A group of well dressed men,Men,Entailment1,1
36142198,large group spotted dogs,multiple dogs,a large group of spotted dogs,multiple dogs,Entailment1,1
36142198,large group spotted dogs,pack dogs,a large group of spotted dogs,a pack of dogs,Entailment1,1
36142198,multiple dogs,sizable group hunting dogs,multiple dogs,a sizable group of hunting dogs,Entailment2,2
36422830,four wheel drive car,red jeep,A four wheel drive car,A red jeep,Entailment2,2
36422830,ditch,rocky surface,a ditch,a rocky surface,Independence,4
36422830,jeep,red jeep,A jeep,A red jeep,Entailment2,2
36422830,four wheel drive car,red suv,A four wheel drive car,a red SUV,Independence,4
36422830,ditch,edge rocky cliff,a ditch,the edge of a rocky cliff,Alternation,0
36880708,group men,group six people,A group of men,A group of six people,Entailment1,1
36880708,individual xylophones,xylophones,individual xylophones,xylophones,Entailment1,1
36880708,six musicians,six people,Six musicians,Six people,Entailment1,1
37120680,doll,plush toy,a doll,a plush toy,Independence,4
37791887,elementary schoolgirls soccer team,maroon team,An elementary schoolgirls soccer team,a maroon team,Independence,4
37908123,cord,rope,the cord,a rope,Independence,4
37908123,gray hooded sweatshirt,gray sweatshirt,a gray hooded sweatshirt,a gray sweatshirt,Entailment1,1
37908123,large crane,white crane,a large crane,white crane,Independence,4
38110161,small band,some elderly people,A small band,Some elderly people,Independence,4
38110161,group asian people,some elderly people,A group of Asian people,Some elderly people,Independence,4
38110161,instruments,various musical instruments,instruments,various musical instruments,Entailment2,2
38110161,group elderly asian people,small band,A group of elderly Asian people,A small band,Independence,4
38130652,construction worker,contractor,A construction worker,A contractor,Independence,4
38130652,large piece wood,wooden plank,a large piece of wood,a wooden plank,Entailment2,2
38130652,contractor,person,A contractor,The person,Entailment1,1
38180331,crowded gathering,group people,A crowded gathering,A group of people,Independence,4
38180331,children,smiling child,their children,a smiling child,Entailment2,2
38437776,floor,white roof,the floor,a white roof,Alternation,0
38476490,3 girls,women,3 girls,Women,Alternation,0
38478672,paint,paintbrush,paint,a paintbrush,Alternation,0
38541144,defensive pose,karate,a defensive pose,a karate,Independence,4
38541144,martial arts outfit,white uniform,a martial arts outfit,white uniform,Independence,4
38541144,white karate outfit,white uniform,a white karate outfit,white uniform,Entailment1,1
39397486,mall blond child,young boy,A mall blond child,A young boy,Independence,4
39436957,two young adult men,two young men,Two young adult men,Two young men,Entailment1,1
39490282,shirtless man,young black man,A shirtless man,A young black man,Independence,4
39494353,grill,large flame,grill,a large flame,Independence,4
39494353,large flame,open fire,a large flame,an open fire,Independence,4
39593539,cooler ice cream,refrigerator,a cooler of ice cream,a refrigerator,Alternation,0
39593539,ice cream,ice cream tubs,ice cream,ice cream tubs,Entailment2,2
39980756,large motorcycle,motorcycle,a large motorcycle,a motorcycle,Entailment1,1
39999879,nypd policemen,two male police officers,NYPD policemen,Two male police officers,Independence,4
40202068,dark blue shirt,dark colored shirt,a dark blue shirt,a dark colored shirt,Entailment1,1
40261771,crowd black people,large crowd,A crowd of black people,A large crowd,Entailment1,1
40302299,excited children,four kids,Excited children,four kids,Independence,4
40302299,bunch kids,four kids,A bunch of kids,four kids,Entailment2,2
40302299,parents,two adult males,their parents,two adult males,Independence,4
40302299,4 children,excited children,4 children,Excited children,Independence,4
40469496,barber,old man,A barber,An old man,Independence,4
40738998,orange purple sleeping bags,sleeping bags,orange and purple sleeping bags,sleeping bags,Entailment1,1
40738998,two young blond-haired children,two young girls,Two young blond-haired children,Two young girls,Independence,4
40793390,two men,two rockers,Two men,Two rockers,Independence,4
41253213,large tent,white tent,a large tent,white tent,Independence,4
42018548,hot-air balloons,launch hot air balloons,hot-air balloons,the launch of hot air balloons,Entailment2,2
42256309,mannequin,poster mannequin,a mannequin,a poster of a mannequin,Alternation,0
42256309,big wall,poster mannequin,a big wall,a poster of a mannequin,Alternation,0
42256309,reflective vest,safety vest,a reflective vest,the same safety vest,Independence,4
42256309,two construction men,two workers,Two construction men,Two workers,Entailment1,1
42276187,blue tank top,purple tank top,a blue tank top,a purple tank top,Alternation,0
42640383,lily covered pond,pond,a lily covered pond,a pond,Entailment1,1
42975444,wooden cabinet,wooden object,a wooden cabinet,a wooden object,Entailment1,1
42975444,drawer,wooden cabinet,a drawer,a wooden cabinet,Independence,4
42975444,wooden object,wooden shelf,a wooden object,wooden shelf,Entailment2,2
43331469,chess pieces,pawn chess pieces,chess pieces,the pawn chess pieces,Entailment2,2
43331469,cute little baby,toddler,The cute little baby,A toddler,Alternation,0
43426408,building,wooden house,a building,a wooden house,Entailment2,2
43499667,mask,welding mask,a mask,a welding mask,Entailment2,2
43980543,construction men,men,Construction men,The men,Entailment1,1
44341044,bunch guys,social gathering,Bunch of guys,a social gathering,Independence,4
44399434,big man,older man,A big man,An older man,Independence,4
44401148,air,elaborate trick,the air,an elaborate trick,Alternation,0
44401148,elaborate trick,mountainous background,an elaborate trick,a mountainous background,Alternation,0
44401148,air,nice jump,the air,a nice jump,Alternation,0
44401148,elaborate trick,nice jump,an elaborate trick,a nice jump,Independence,4
44419435,green white shirt,green white top,a green and white shirt,a green and white top,Entailment1,1
44856031,drink water,jet water,a drink of water,a jet of water,Alternation,0
44904567,head,someone \'s head,his head,someone \'s head,Entailment1,1
44953144,horse drawn carriage,vehicle,a horse drawn carriage,a vehicle,Entailment1,1
44953144,paved road,tree-lined avenue,a paved road,a tree-lined avenue,Independence,4
45110113,caricature boy,comical sketch young boy,a caricature of a boy,a comical sketch of a young boy,Independence,4
45110113,caricature portrait young boy,caricature young boy,a caricature portrait of a young boy,a caricature of a young boy,Equivalence,3
45119507,city carpet,city-themed play mat,a city carpet,a city-themed play mat,Independence,4
45310675,some other personal belongings,tools,some other personal belongings,his tools,Independence,4
45312111,can diet coca cola,diet coke,a can of diet Coca Cola,a Diet Coke,Entailment1,1
45312111,can diet coca-cola,drink,a can of diet coca-cola,a drink,Entailment1,1
45312111,can diet coca cola,can diet coke,a can of diet Coca Cola,a can of diet coke,Equivalence,3
45543081,car,small horse-drawn wagon,a car,a very small horse-drawn wagon,Alternation,0
45543081,cart,produce cart,a cart,a produce cart,Entailment2,2
45543081,horse drawn cart,small horse-drawn wagon,a horse drawn cart,a very small horse-drawn wagon,Entailment2,2
45543081,car,produce cart,a car,a produce cart,Alternation,0
45543081,produce cart,small horse-drawn wagon,a produce cart,a very small horse-drawn wagon,Independence,4
45543081,cart,horse drawn cart,a cart,a horse drawn cart,Entailment2,2
45543085,fidel castro,picture fidel castro,Fidel Castro,a picture of Fidel Castro,Entailment2,2
45876127,amish group,group amish-looking people,The Amish group,A group of Amish-looking people,Entailment1,1
45876127,amish group,group amish people,The Amish group,A group of Amish people,Equivalence,3
46348868,bicycle \'s rear tire,bike tire,his bicycle \'s rear tire,a bike tire,Entailment1,1
46348868,bicycle \'s rear tire,one tires,his bicycle \'s rear tire,one of the tires,Entailment1,1
46458329,black hair,lot hair,black hair,a lot of hair,Independence,4
46829862,scaffolding,worker painting,a scaffolding,A worker painting,Alternation,0
46982960,two smoking women,two women,Two smoking women,Two women,Entailment1,1
47136694,individuals,pack soldiers,Individuals,a pack of soldiers,Entailment2,2
47136694,blue white stand uniforms,uniforms,blue and white stand uniforms,uniforms,Entailment1,1
47325915,all male group,rock band,A all male group,A rock band,Independence,4
47529535,infant,younger sibling,an infant,his younger sibling,Independence,4
47529535,infant,younger child,an infant,a younger child,Entailment1,1
47529535,small boy,younger sibling,a small boy,his younger sibling,Independence,4
47576066,brick wall,graffiti,a brick wall,graffiti,Alternation,0
47576066,african american woman,homeless african american woman,An african american woman,A homeless african american woman,Entailment2,2
47770444,motorbikes,scooters,motorbikes,scooters,Independence,4
47820985,purple,purple collared shirt,purple,a purple collared shirt,Entailment2,2
47871819,girl,two young women,The girl,Two young women,Alternation,0
48296039,four young men,group four men,Four young men,A group of four men,Entailment1,1
48296285,2 males,two men,2 males,Two men,Entailment2,2
48296285,two male students,two men,Two male students,Two men,Independence,4
